 10;  0.25;0.001545;0.00169358;0.003877
 10;   0.5;0.002446;0.00271317;0.005151
 10;  0.75;0.003445;0.00369882;0.013306
 10;     1;0.004159;0.0043342;0.006284
 50;  0.25;0.033773;0.0446696;0.633416
 50;   0.5;0.058298;0.0926613;1.23411
 50;  0.75;0.073298;0.113067;1.2293
 50;     1;0.095752;0.119549;0.315565
100;  0.25;0.127387;0.144232;0.257769
100;   0.5;0.216976;0.250065;1.09867
100;  0.75;0.301299;0.349031;1.34705
100;     1;0.382594;0.41556;0.700316
500;  0.25;3.52589;4.27318;13.1367
500;   0.5;6.24782;6.85872;9.36332
500;  0.75;10.2701;11.2923;15.2344
500;     1;14.2498;15.727;20.8568
1000;  0.25;19.6894;21.3185;28.2138
1000;   0.5;37.1989;39.5833;54.5069
1000;  0.75;54.0707;57.373;66.3231
1000;     1;72.5984;75.9897;87.7694
